"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","722","Checkout Page Title Validation","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","416","Sort Products Alphabetically Z to A","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","877","Cancel Button Visibility","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","384","Product Image Visibility","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","580","Locked User Login Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","566","Lowest Price Item First Position Check","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","425","Cart Page Title Validation","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","900","Postal Code Field Visibility","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","608","Shopping Cart Icon Visibility","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","467","Empty Credentials Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","318","Login Page URL Validation","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","395","Password Field Is Masked Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","545","Continue Button Click Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","555","Product Sort Dropdown Visibility","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","1062","Checkout Overview Page Title","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","421","Cart Badge Visibility","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","504","Checkout Step One URL Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","620","Add Single Product To Cart","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
